,year,congress,party,district,statenam,name,ngirls,nboys,totchi,anygirls,propgirls,rgroup,statabb,statalph,region,repub,srvlng,female,white,bday,age,demvote,medinc,perf,perw,perhs,percol,perur,alabort,moreserv,moredef,morecrimesp,protgay,dr1per,dr2per,dr3per,dr4per,dr5per,aauw,rtl,nowtot,now1,now2,now3,now4,now5,now6,now7,now8,now9,now10,now11,now12,now13,now14,now15,now16,now17,now18,now19,now20
1029,2001-2002,107,2,14,ILLINOI,"HASTERT, DENNIS J.",0,2,2,0,0,1,IL,14,3,1,15,0,1,1/2/1942,59,0.432989687,45377,0.509715736,0.887946367,0.80400002,0.227000013,0.789668083,0.445736438,0.427884609,0.200787395,0.661596954,0.678571403,0.460000008,0.289999992,0,0.059999999,0.189999998,0,100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1030,2001-2002,107,1,23,FLORIDA,"HASTINGS, ALCEE L.",2,1,3,1,0.666666687,1,FL,10,5,0,9,0,0,9/5/1936,64,0.20408164,26238,0.518462241,0.447847992,0.614000022,0.109999999,0.954972208,0.392344505,0.393292695,0.274358988,0.61662817,0.595744669,0.479999989,0.25999999,0.01,0.07,0.180000007,100,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1031,2001-2002,107,2,4,WASHING,"HASTINGS, RICHARD",2,1,3,1,0.666666687,2,WA,48,9,1,7,0,1,2/7/1941,59,0.354166657,29700,0.507663608,0.832025886,0.730000019,0.160999998,0.614323974,0.591397822,0.269230783,0.205555558,0.529100537,0.707964599,0.389999986,0.200000003,0.039999999,0.050000001,0.310000002,0,100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1032,2001-2002,107,2,8,NORTH C,"HAYES, ROBERT C. (ROBIN)",0,2,2,0,0,1,NC,34,5,1,3,0,1,8/14/1945,55,0.434343427,30399,0.524958014,0.728485644,0.658000052,0.113999993,0.450289369,0.270491809,0.445945948,0.20408164,0.75,0.662500024,0.689999998,0.100000001,0.01,0.050000001,0.150000006,0,100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1033,2001-2002,107,2,6,ARIZONA,"HAYWORTH, J.D.",2,1,3,1,0.666666687,1,AZ,3,8,1,7,0,1,7/12/1958,42,0.443298966,29273,0.512345493,0.703446865,0.738000035,0.158999994,0.672199726,0.511415541,0.231884062,0.276785702,0.686956525,0.663999975,0.360000014,0.289999992,0.059999999,0.059999999,0.219999999,0,100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1034,2001-2002,107,2,5,COLORAD,"HEFLEY, JOEL M.",3,0,3,1,1,1,CO,6,8,1,15,0,1,4/18/1935,65,0.33684212,38651,0.500361621,0.88756907,0.894999981,0.300999999,0.887563586,0.584795296,0.3125,0.201183438,0.519999981,0.670000017,0.419999987,0.230000004,0.029999999,0.050000001,0.270000011,9,100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1035,2001-2002,107,2,2,CALIFOR,"HERGER, WALTER",3,5,8,1,0.375,3,CA,5,9,1,15,0,1,5/20/1945,55,0.365591407,29646,0.510300577,0.915874481,0.783000052,0.16399999,0.595321655,0.567669153,0.378809869,0.231168836,0.634146333,0.672877848,0.330000013,0.319999993,0.02,0.079999998,0.25,0,100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1036,2001-2002,107,1,9,INDIANA,"HILL, BARON PAUL",3,0,3,1,1,1,IN,15,3,0,3,0,1,6/23/1953,47,0.408163279,31425,0.521450639,0.977423072,0.699000001,0.101999998,0.407472014,0.243401766,0.264084518,0.252365917,0.538461566,0.525714278,0.550000012,0.200000003,0.01,0.050000001,0.189999998,73,50,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1037,2001-2002,107,2,4,TENNESS,"HILLEARY, WILLIAM",0,0,0,0,0,1,TN,43,6,1,7,0,1,6/20/1959,41,0.444444448,24532,0.525183678,0.957781255,0.56400001,0.090000004,0.260000587,0.32661289,0.35164836,0.247706428,0.634920657,0.506756783,0.75999999,0.059999999,0,0.029999999,0.140000001,0,100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1038,2001-2002,107,1,7,ALABAMA,"HILLIARD, EARL F.",1,1,2,1,0.5,1,AL,1,6,0,9,0,0,4/9/1942,58,0.666666687,20773,0.560030639,0.321284354,0.605000019,0.106000006,0.726946235,0.297071129,0.5,0.314009666,0.54838711,0.53435117,0.689999998,0.129999995,0.02,0.039999999,0.119999997,100,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
